"date","variety","price"
"2020-11-19","大白菜","1.3"
"2020-11-19","大白菜","1.3"
"2020-11-19","大白菜","1.3"
"2020-11-19","蒜薹","5.7"
"2020-11-19","大白菜","1.3"
"2020-11-19","葱头","2"
"2020-11-19","豇豆","5.4"
"2020-11-19","香菇","9.5"
"2020-11-19","西葫芦","2.7"
"2020-11-19","胡萝卜","3"
"2020-11-19","红萝卜","2"
"2020-11-19","木耳","6.7"
"2020-11-19","丝瓜","5.1"
"2020-6-16","冬瓜","1.5"
"2020-6-16","大葱","2.6"
"2020-6-16","胡萝卜","3.6"
"2020-6-16","西兰花","10"
"2020-6-16","蒜薹","5.5"
"2020-6-16","洋白菜","1.2"
"2020-6-16","豆角","4"
"2020-6-16","莲藕","12.1"
"2020-11-19","蒜薹","5.7"
"2020-11-19","大白菜","1.3"
"2020-11-19","葱头","2"
"2020-11-19","豇豆","5.4"
"2020-11-19","香菇","9.5"
"2020-11-19","西葫芦","2.7"
"2020-11-19","胡萝卜","3"
"2020-11-19","红萝卜","2"
"2020-11-19","木耳","6.7"
"2020-11-19","丝瓜","5.1"
"2020-6-16","冬瓜","1.5"
"2020-6-16","大葱","2.6"
"2020-6-16","胡萝卜","3.6"
"2020-6-16","西兰花","10"
"2020-6-16","蒜薹","5.5"
"2020-6-16","洋白菜","1.2"
"2020-6-16","豆角","4"
"2020-6-16","莲藕","12.1"
"2020-6-16","白萝卜","0.9"
"2020-6-16","黄瓜","1.9"
"2020-6-16","菜花","4.4"
"2020-6-16","西红柿","2.7"
"2020-6-16","葱头","1.3"
"2020-6-16","红萝卜","2.7"
"2020-6-15","南瓜","1.4"
"2020-6-15","条形辣椒干（小米椒）","8.4"
"2020-6-15","白萝卜","1"
"2020-6-15","西兰花","10.2"
"2020-6-15","菠菜","6.6"
"2020-6-15","生菜","3.6"
"2020-6-15","黄瓜","1.8"
"2020-6-15","菜花","4.8"
"2020-6-15","蒜薹","5.3"
"2020-6-15","青椒","2.4"
"2020-6-15","生姜","13.5"
"2020-6-16","芹菜","4.1"
